Sample_ID	Individual_ID	Sex	total_length(mm)	age(years)	Lat	Lon	Date(dd/mm/yyyy)	Technical_Replicates
Flatanger	FKH01	male	150	2	64.51083333	10.66555556	2016	yes
Flatanger	FKH02	male	155	2	64.51083333	10.66555556	2016	yes
Flatanger	FKH03	female	166	3	64.51083333	10.66555556	2016	yes
Flatanger	FKH05	male	188	3	64.51083333	10.66555556	2016	yes
Flatanger	FKH06	female	132	2	64.51083333	10.66555556	2016	no
Flatanger	FKH09	male	158	2	64.51055556	10.69722222	2016	no
Flatanger	FKH10	male	156	2	64.51055556	10.69722222	2016	no
Flatanger	FKH15	male	190	3	64.60472222	10.86333333	2016	no
Flatanger	FKH16	male	162	2	64.60472222	10.86333333	2016	no
Flatanger	FKH17	female	157	3	64.60472222	10.86333333	2016	no
Flatanger	FKH20	female	138	2	64.60472222	10.86333333	2016	no
Flatanger	FKH21	male	163	2	64.60472222	10.86333333	2016	no
Flatanger	FKH22	male	148	2	64.60472222	10.86333333	2016	no
Flatanger	FKH23	male	152	2	64.60472222	10.86333333	2016	no
Flatanger	FKH24	female	156	3	64.60472222	10.86333333	2016	no
Flatanger	FKH28	female	168	3	64.60472222	10.86333333	2016	no
Flatanger	FKH30	male	157	2	64.51222222	10.65833333	2016	no
Flatanger	FKH31	male	156	2	64.51222222	10.65833333	2016	no
Flatanger	FKH38	female	178	3	64.52527778	10.64361111	2016	no
Flatanger	FKH41	male	164	2	64.52527778	10.64361111	2016	no
Flatanger	FKH43	male	154	2	64.52527778	10.64361111	2016	yes
Flatanger	FKH48	male	185	2	64.48805556	10.66527778	2016	yes
Flatanger	FKH50	female	172	3	64.60722222	10.84944444	2016	yes
Flatanger	FKH51	female	173	3	64.60722222	10.84944444	2016	yes
Flatanger	FKH55	female	124	2	64.51277778	10.65888889	2016	no
Flatanger	FKH58	female	152	3	64.51277778	10.65888889	2016	no
Flatanger	FKH59	male	141	2	64.51277778	10.65888889	2016	no
Flatanger	FKH61	female	130	2	64.49555556	10.66166667	2016	no
Flatanger	FKH62	female	130	2	64.49555556	10.66166667	2016	no
Flatanger	FKH64	male	149	2	64.49555556	10.66166667	2016	no
Flatanger	FKH65	male	152	2	64.49555556	10.66166667	2016	no
Flatanger	FKH66	male	208	5	64.49555556	10.66166667	2016	no
Flatanger	FKH67	male	172	2	64.52444444	10.64388889	2016	no
Flatanger	FKH74	female	177	3	64.507455	10.662146	2016	no
Flatanger	FKH75	male	159	2	64.48683333	10.65844444	2016	no
Flatanger	FKH76	female	138	2	64.48683333	10.65844444	2016	no
Flatanger	FKH77	male	143	2	64.48683333	10.65844444	2016	no
Flatanger	FKH78	male	165	2	64.48683333	10.65844444	2016	no
Flatanger	FKH79	male	162	2	64.48683333	10.65844444	2016	no
Flatanger	FKH80	male	158	2	64.45666667	10.59444444	2016	no
Austevoll	SMAU01	male	190	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU02	male	183	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU03	female	124	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU04	female	131	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU05	male	108	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU06	male	157	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU07	female	136	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU08	female	127	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU09	male	151	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU10	male	116	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU11	female	123	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU12	male	141	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU13	male	168	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU14	female	129	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU15	female	124	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU16	female	118	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU17	female	131	NA	60.096642	5.269618	07/09/2016	yes
Austevoll	SMAU18	male	147	NA	60.096642	5.269618	07/09/2016	yes
Austevoll	SMAU19	male	112	NA	60.096642	5.269618	07/09/2016	yes
Austevoll	SMAU20	male	161	NA	60.096642	5.269618	07/09/2016	yes
Austevoll	SMAU21	male	109	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU22	male	160	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU23	female	128	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU24	male	118	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU25	female	155	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU26	male	156	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU27	male	141	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU28	female	119	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU29	male	119	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU30	male	116	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU31	male	112	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU32	female	116	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU33	female	126	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU34	female	116	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU35	male	110	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU36	male	106	NA	60.096642	5.269618	07/09/2016	no
Austevoll	SMAU37	female	127	NA	60.096642	5.269618	07/09/2016	yes
Austevoll	SMAU38	male	112	NA	60.096642	5.269618	07/09/2016	yes
Austevoll	SMAU39	female	127	NA	60.096642	5.269618	07/09/2016	yes
Austevoll	SMAU40	female	129	NA	60.096642	5.269618	07/09/2016	yes
Stavanger	SMID01	female	166	NA	58.963804	5.942488	10/09/2016	no
Stavanger	SMID02	female	167	NA	58.963804	5.942488	10/09/2016	no
