"ID"	"Lon"	"Lat"	"Temp"	"maxWM"	"Prec"	"Season"
"FKH09"	10.69722222	64.51055556	53	169	1318	25
"FKH10"	10.69722222	64.51055556	53	169	1318	25
"FKH15"	10.86333333	64.60472222	49	167	1360	24
"FKH16"	10.86333333	64.60472222	49	167	1360	24
"FKH17"	10.86333333	64.60472222	49	167	1360	24
"FKH20"	10.86333333	64.60472222	49	167	1360	24
"FKH21"	10.86333333	64.60472222	49	167	1360	24
"FKH22"	10.86333333	64.60472222	49	167	1360	24
"FKH23"	10.86333333	64.60472222	49	167	1360	24
"FKH24"	10.86333333	64.60472222	49	167	1360	24
"FKH28"	10.86333333	64.60472222	49	167	1360	24
"FKH48a"	10.66527778	64.48805556	48	163	1262	24
"FKH50a"	10.84944444	64.60722222	49	167	1360	24
"FKH51a"	10.84944444	64.60722222	49	167	1360	24
"FKH61"	10.66166667	64.49555556	48	163	1262	24
"FKH62"	10.66166667	64.49555556	48	163	1262	24
"FKH64"	10.66166667	64.49555556	48	163	1262	24
"FKH65"	10.66166667	64.49555556	48	163	1262	24
"FKH66"	10.66166667	64.49555556	48	163	1262	24
"FKH75"	10.65844444	64.48683333	48	163	1262	24
"FKH76"	10.65844444	64.48683333	48	163	1262	24
"FKH77"	10.65844444	64.48683333	48	163	1262	24
"FKH78"	10.65844444	64.48683333	48	163	1262	24
"FKH79"	10.65844444	64.48683333	48	163	1262	24
"FKH80"	10.59444444	64.45666667	48	163	1262	24
"SMAU01"	5.269618	60.096642	75	171	1903	32
"SMAU02"	5.269618	60.096642	75	171	1903	32
"SMAU03"	5.269618	60.096642	75	171	1903	32
"SMAU04"	5.269618	60.096642	75	171	1903	32
"SMAU05"	5.269618	60.096642	75	171	1903	32
"SMAU06"	5.269618	60.096642	75	171	1903	32
"SMAU07"	5.269618	60.096642	75	171	1903	32
"SMAU08"	5.269618	60.096642	75	171	1903	32
"SMAU09"	5.269618	60.096642	75	171	1903	32
"SMAU10"	5.269618	60.096642	75	171	1903	32
"SMAU11"	5.269618	60.096642	75	171	1903	32
"SMAU12"	5.269618	60.096642	75	171	1903	32
"SMAU13"	5.269618	60.096642	75	171	1903	32
"SMAU14"	5.269618	60.096642	75	171	1903	32
"SMAU15"	5.269618	60.096642	75	171	1903	32
"SMAU16"	5.269618	60.096642	75	171	1903	32
"SMAU17a"	5.269618	60.096642	75	171	1903	32
"SMAU18a"	5.269618	60.096642	75	171	1903	32
"SMAU19a"	5.269618	60.096642	75	171	1903	32
"SMAU20a"	5.269618	60.096642	75	171	1903	32
"SMAU21"	5.269618	60.096642	75	171	1903	32
"SMAU22"	5.269618	60.096642	75	171	1903	32
"SMAU23"	5.269618	60.096642	75	171	1903	32
"SMAU24"	5.269618	60.096642	75	171	1903	32
"SMAU25"	5.269618	60.096642	75	171	1903	32
"SMAU26"	5.269618	60.096642	75	171	1903	32
"SMAU27"	5.269618	60.096642	75	171	1903	32
"SMAU28"	5.269618	60.096642	75	171	1903	32
"SMAU29"	5.269618	60.096642	75	171	1903	32
"SMAU30"	5.269618	60.096642	75	171	1903	32
"SMAU31"	5.269618	60.096642	75	171	1903	32
"SMAU32"	5.269618	60.096642	75	171	1903	32
"SMAU33"	5.269618	60.096642	75	171	1903	32
"SMAU34"	5.269618	60.096642	75	171	1903	32
"SMAU35"	5.269618	60.096642	75	171	1903	32
"SMAU36"	5.269618	60.096642	75	171	1903	32
"SMAU37a"	5.269618	60.096642	75	171	1903	32
"SMAU38a"	5.269618	60.096642	75	171	1903	32
"SMAU39a"	5.269618	60.096642	75	171	1903	32
"SMAU40a"	5.269618	60.096642	75	171	1903	32
"SMID01"	5.942488	58.963804	66	163	1635	32
"SMID02"	5.942488	58.963804	66	163	1635	32
"SMID03"	5.942488	58.963804	66	163	1635	32
"SMID04"	5.942488	58.963804	66	163	1635	32
"SMID05"	5.942488	58.963804	66	163	1635	32
"SMID06"	5.942488	58.963804	66	163	1635	32
"SMID07"	5.942488	58.963804	66	163	1635	32
"SMID08"	5.942488	58.963804	66	163	1635	32
"SMID09"	5.942488	58.963804	66	163	1635	32
"SMID10"	5.942488	58.963804	66	163	1635	32
"SMID11"	5.942488	58.963804	66	163	1635	32
"SMID12"	5.942488	58.963804	66	163	1635	32
"SMID13"	5.942488	58.963804	66	163	1635	32
"SMID14"	5.942488	58.963804	66	163	1635	32
"SMID15"	5.942488	58.963804	66	163	1635	32
"SMID16"	5.942488	58.963804	66	163	1635	32
"SMID17a"	5.942488	58.963804	66	163	1635	32
"SMID18a"	5.942488	58.963804	66	163	1635	32
"SMID19a"	5.942488	58.963804	66	163	1635	32
"SMID20a"	5.942488	58.963804	66	163	1635	32
"SMID21"	5.942488	58.963804	66	163	1635	32
"SMID22"	5.942488	58.963804	66	163	1635	32
"SMID23"	5.942488	58.963804	66	163	1635	32
"SMID24"	5.942488	58.963804	66	163	1635	32
"SMID25"	5.942488	58.963804	66	163	1635	32
"SMID26"	5.942488	58.963804	66	163	1635	32
"SMID27"	5.942488	58.963804	66	163	1635	32
"SMID28"	5.942488	58.963804	66	163	1635	32
"SMID29"	5.942488	58.963804	66	163	1635	32
"SMID30"	5.942488	58.963804	66	163	1635	32
"SMID31"	5.942488	58.963804	66	163	1635	32
"SMID32"	5.942488	58.963804	66	163	1635	32
"SMID33"	5.942488	58.963804	66	163	1635	32
"SMID34"	5.942488	58.963804	66	163	1635	32
"SMID35"	5.942488	58.963804	66	163	1635	32
