# Constructed from biom file
#OTU ID	MF_1_4.2	MF_1_5.2	MF_3_2.2	MF_3_3.2	MF_3_4.2	MF_3_5.2	OW_2_1	OW_2_3	OW_2_4	RS_1_3	RS_1_4	RS_1_5	RS_2_1	RS_2_2	RS_2_3	RS_2_4	RS_2_5	RS_3_1	RS_3_2	RS_3_3	RS_3_4	RS_3_5	SB_4_1	SB_4_2	SB_4_3	SB_4_4	SB_4_5
OP535457.1.<1.>858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	6.0	15.0	0.0	0.0	0.0	0.0	0.0
MW438349.1.1.1521	0.0	0.0	0.0	12.0	5.0	0.0	11.0	9.0	9.0	0.0	0.0	6.0	0.0	4.0	0.0	3.0	5.0	6.0	6.0	4.0	4.0	6.0	0.0	3.0	4.0	0.0	3.0
MH500016.1.<1.>669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0
EF036582.2.<1.>1224	17.0	13.0	18.0	23.0	12.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	7.0	3.0	7.0	9.0	5.0	5.0	14.0	7.0	11.0
ON552998.1.19834.21435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	2.0	0.0	12.0	4.0	8.0	4.0	5.0	3.0	6.0	22.0	6.0	0.0	0.0	0.0	0.0	2.0
AB287100.1.<1.>661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AJ488623.1.<1.>620	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	5.0
MZ486556.1.<1.>661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR753707.1.<1.>657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	127.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PP239077.1.<1.>250	0.0	0.0	17.0	8.0	4.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MK922345.1.29788.29185,31832.30931	30.0	35.0	27.0	36.0	27.0	27.0	37.0	32.0	58.0	28.0	15.0	20.0	28.0	36.0	12.0	17.0	23.0	18.0	34.0	32.0	10.0	31.0	16.0	10.0	12.0	14.0	4.0
KY565326.1.<1.>1088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	24.0	14.0	2.0	11.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OP133162.1.5515.7065	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	39.0	46.0	40.0	76.0	0.0	0.0	0.0	0.0	0.0	46.0	29.0	357.0	77.0	36.0
