P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
Austevoll	Flatanger	Kristiansand	0.000872067	0.807106	0.419605	0.395719	371.956	216.243	215.867
Flatanger	Austevoll	Stavanger	0.0216582	7.95546	1.78471e-15	1	288.673	281.654	269.712
Austevoll	Flatanger	Stromstad	0.00223778	2.43215	0.0150096	0.139557	374.47	214.717	213.758
Stavanger	Austevoll	Kristiansand	0.00182177	2.69756	0.00698493	0.369465	351.271	202.2	201.465
Kristiansand	Austevoll	Stromstad	0.00357935	2.12737	0.0333895	0.200233	224.139	219.516	217.95
Stavanger	Austevoll	Stromstad	0.000418942	0.813328	0.41603	0.0244361	353.933	200.239	200.072
Stavanger	Flatanger	Kristiansand	0.00255407	2.25254	0.0242883	0.558788	355.042	218.29	217.178
Kristiansand	Flatanger	Stromstad	0.0055455	3.18607	0.00144221	0.322843	232.936	228.896	226.371
Stavanger	Flatanger	Stromstad	0.00260829	2.9307	0.00338195	0.164145	357.31	216.517	215.39
Kristiansand	Stavanger	Stromstad	0.00322914	1.94605	0.0516483	0.178787	221.243	217.188	215.789
